,emb_id,data_type,CLIP_PCA_x,CLIP_PCA_y,CLIP_UMAP_x,CLIP_UMAP_y,CLIP_TSNE_x,CLIP_TSNE_y,CLIP_nogap_PCA_x,CLIP_nogap_PCA_y,CLIP_nogap_UMAP_x,CLIP_nogap_UMAP_y,CLIP_nogap_TSNE_x,CLIP_nogap_TSNE_y,CyCLIP_PCA_x,CyCLIP_PCA_y,CyCLIP_UMAP_x,CyCLIP_UMAP_y,CyCLIP_TSNE_x,CyCLIP_TSNE_y,CyCLIP_nogap_PCA_x,CyCLIP_nogap_PCA_y,CyCLIP_nogap_UMAP_x,CyCLIP_nogap_UMAP_y,CyCLIP_nogap_TSNE_x,CyCLIP_nogap_TSNE_y,CLOOB_PCA_x,CLOOB_PCA_y,CLOOB_UMAP_x,CLOOB_UMAP_y,CLOOB_TSNE_x,CLOOB_TSNE_y,CLOOB_nogap_PCA_x,CLOOB_nogap_PCA_y,CLOOB_nogap_UMAP_x,CLOOB_nogap_UMAP_y,CLOOB_nogap_TSNE_x,CLOOB_nogap_TSNE_y,CLOOB_LAION400M_PCA_x,CLOOB_LAION400M_PCA_y,CLOOB_LAION400M_UMAP_x,CLOOB_LAION400M_UMAP_y,CLOOB_LAION400M_TSNE_x,CLOOB_LAION400M_TSNE_y,CLOOB_LAION400M_nogap_PCA_x,CLOOB_LAION400M_nogap_PCA_y,CLOOB_LAION400M_nogap_UMAP_x,CLOOB_LAION400M_nogap_UMAP_y,CLOOB_LAION400M_nogap_TSNE_x,CLOOB_LAION400M_nogap_TSNE_y
0,0,image,0.17682727,0.6862336,1.0435717,4.2624416,10.346156447539423,6.176935345358628,0.7779294,0.39845496,6.9606595,-0.011294612,1.3431591200396067,2.996223944471268,0.36121047,0.2334725,12.938241,6.90677,10.560007315958895,5.897722910935727,0.2802117,0.39810088,14.030765,3.1692488,0.48484285631186447,1.5122724916070496,-0.16494897,0.15155493,0.26371315,7.997419,3.1846646787858686,-0.004274600125209594,0.4698206,0.7146279,4.7709355,7.3739305,0.3141660471804323,0.13784264441748137,-0.27328464,0.2314325,-0.8904895,11.218937,2.957956421626557,1.3437451456817169,-0.49366823,-0.23701622,4.4007444,7.6520505,-3.9843206401206364,-4.246760527186762
1,1,image,0.19886109,0.67785835,1.0006919,4.281077,10.346425714441166,6.171222510764205,0.7682103,0.38541287,6.8490415,-0.055396732,1.3419484742949956,2.9946998743056845,0.3578979,0.23503739,13.007782,6.7975593,10.562369584986037,5.89078302265821,0.2821276,0.40889946,14.027789,3.2025452,0.47192978125653734,1.510073818184508,-0.13063402,0.20407416,0.24049339,8.014273,3.2407445056284088,-0.003789345614597593,0.49122506,0.70915556,4.751024,7.366334,0.28573240842734593,0.139843796077859,-0.2737163,0.23168506,-0.96915925,11.275491,2.966998200967014,1.3452706576424855,-0.49431062,-0.23923573,4.328747,7.567046,-3.97567404540422,-4.247213442020488
2,2,image,0.27605966,0.66088915,1.0537258,4.215584,10.36551255405031,6.11818138900112,0.7436417,0.31831592,7.069597,0.04920563,1.2973287463998227,2.963168780011486,0.36932448,0.23757866,12.886532,6.909546,10.56935207330973,5.86512646787932,0.28233895,0.4031791,13.959372,3.09625,0.4335626413146842,1.5026027091744367,-0.017649569,0.4026147,0.16791223,8.152136,3.6799822736317256,-0.0006766401430587676,0.58687025,0.59838027,4.788319,7.3671627,0.10811684574063027,0.15204637850269107,-0.26215464,0.25759038,-0.89563805,11.099015,3.0442950850112576,1.3587502656999284,-0.5026864,-0.24031553,4.2990313,7.41302,-3.9436581256259173,-4.249274935815743
3,3,image,0.30531025,0.64851004,0.95610785,4.243005,10.374174243862512,6.091568464097934,0.72977513,0.2909569,7.069474,0.117027685,1.2730131890987932,2.9448565701817686,0.3843484,0.2459816,12.834042,6.828615,10.579993599151239,5.828288412765891,0.28768164,0.37937334,13.977211,3.159185,0.38182686691360657,1.49249930346452,0.04507205,0.4875339,0.20541018,8.289133,4.247353379846141,0.003647967811958302,0.61868757,0.5072262,4.804751,7.2573805,-0.1361105122342406,0.1687199051516352,-0.250961,0.2824138,-0.8171845,11.119479,3.2022186672744852,1.3857395537002233,-0.5096645,-0.26421756,4.3419714,7.43179,-3.8573915816526316,-4.2526632884563735
4,4,image,0.33046004,0.6400751,1.1064303,4.304433,10.385127079419089,6.056281558539665,0.7213429,0.26327357,7.1776633,0.06795637,1.2406044253095412,2.921012762664823,0.40352476,0.24258119,12.862459,6.9109936,10.592285851381739,5.786694958895918,0.2805934,0.35638824,13.976417,3.1989028,0.3229107214273324,1.47971661205177,0.0905629,0.55404204,0.2862017,8.404661,4.621807148216224,0.006637876924756032,0.6508467,0.45048276,4.7247663,7.320657,-0.4241328353842889,0.18735200969629132,-0.23726787,0.32899144,-0.8197857,11.15243,3.3799740474726723,1.4151916379129577,-0.5293292,-0.27540478,4.222825,7.4738626,-3.7518847924213707,-4.255571494725083
5,5,image,0.337472,0.64510584,1.1127352,4.0705996,10.397712164021186,6.019800821216157,0.72663367,0.2474052,7.2045565,-0.022168735,1.1993726576041106,2.8918204186148406,0.41224417,0.24780159,12.802204,7.1245346,10.611678061201106,5.7264846338243105,0.28362474,0.32259077,14.083388,3.3323333,0.2297427910529367,1.460463204114695,0.13230453,0.5847651,0.31900126,8.452233,4.837541075723618,0.00850967320044111,0.66218746,0.39409393,4.5589085,7.4182835,-0.6436195235990042,0.20133367526231163,-0.20424639,0.36559352,-0.9728554,11.298631,3.5213327868521276,1.4386789829949562,-0.536836,-0.27783427,4.05976,7.705594,-3.681259900844092,-4.25713696099034
6,6,image,0.35139954,0.6393144,1.1320908,3.9739032,10.411424696519964,5.977366153723496,0.72138524,0.22278367,7.130448,-0.13317569,1.1545864278894435,2.858799330624204,0.4156538,0.24787186,12.756861,7.209401,10.631910996536455,5.661542434478114,0.28170586,0.2939071,14.096472,3.588598,0.127360183178066,1.4381064934624193,0.16046235,0.59748936,0.40188816,8.50003,4.943789404173411,0.009451291065590698,0.66719943,0.3620416,4.74156,7.2591987,-0.7584475169646671,0.2084754428473239,-0.20218629,0.37889647,-1.0289192,11.366302,3.634859410824503,1.4571976068494505,-0.5424826,-0.29000288,4.0127807,7.7568192,-3.606367804266616,-4.258310296049357
7,7,image,0.37249637,0.62156516,1.1617067,3.7906384,10.43972387962026,5.889790781598675,0.70601964,0.18258452,7.1707845,-0.31948298,1.0563717926429401,2.7837350117530857,0.42324415,0.24984604,12.84623,7.414172,10.664281568864395,5.552513617106728,0.28141743,0.25222248,14.203477,3.9357839,-0.04759242826070074,1.3983577328888963,0.18938898,0.6078583,0.3186197,8.647617,5.0149915982230135,0.01010056722322395,0.6735077,0.3337654,4.510785,7.5079412,-0.8439972775270268,0.21339166300623533,-0.21197788,0.39374426,-1.0401736,11.410899,3.7191019339772895,1.4704027991916933,-0.5526908,-0.2907295,4.0718856,7.6639385,-3.5326431261700297,-4.25781783629322
8,8,image,0.4152026,0.5761349,1.2022774,3.4773715,10.485782141395564,5.752911091978347,0.6630793,0.13455182,7.302944,-0.61744446,0.9037079123729017,2.66077697875552,0.42769969,0.2582011,12.763701,7.6059103,10.708878488510235,5.405612315973691,0.28871176,0.20366102,14.225541,4.046047,-0.2735374136368514,1.3461731722077503,0.22128916,0.601791,0.26004103,8.72376,5.0775824395566564,0.010685371072569422,0.6630063,0.30971876,4.4258842,7.6143484,-0.9159981570498567,0.2176644124112034,-0.22306709,0.4128188,-1.1229111,11.505253,3.7905198821140633,1.4814968156915371,-0.56682026,-0.28777477,4.013407,7.8466554,-3.4692336840865243,-4.2576828136174285
9,9,image,0.4394655,0.5473044,1.253134,3.4207413,10.517998029500514,5.656048090332971,0.63582325,0.1045125,7.341719,-0.7919511,0.7881926312129894,2.565436715476907,0.42646742,0.26979512,12.799429,7.6909533,10.74475557435204,5.285060976541705,0.3007167,0.1736258,14.296959,4.234852,-0.4556897066260462,1.3050670455975588,0.24626811,0.5985269,0.30777952,8.839104,5.131299738088145,0.0112331441516106,0.6560792,0.2782852,4.4320893,7.6244392,-0.9804917213810951,0.22131526619516972,-0.22823043,0.43028882,-1.1436362,11.713804,3.85277702077736,1.4913905244588064,-0.5786685,-0.28450045,3.992331,8.115391,-3.4176795725862563,-4.25739822867953
