,emb_id,data_type,CLIP_PCA_x,CLIP_PCA_y,CLIP_UMAP_x,CLIP_UMAP_y,CLIP_TSNE_x,CLIP_TSNE_y,CLIP_nogap_PCA_x,CLIP_nogap_PCA_y,CLIP_nogap_UMAP_x,CLIP_nogap_UMAP_y,CLIP_nogap_TSNE_x,CLIP_nogap_TSNE_y,CyCLIP_PCA_x,CyCLIP_PCA_y,CyCLIP_UMAP_x,CyCLIP_UMAP_y,CyCLIP_TSNE_x,CyCLIP_TSNE_y,CyCLIP_nogap_PCA_x,CyCLIP_nogap_PCA_y,CyCLIP_nogap_UMAP_x,CyCLIP_nogap_UMAP_y,CyCLIP_nogap_TSNE_x,CyCLIP_nogap_TSNE_y,CLOOB_PCA_x,CLOOB_PCA_y,CLOOB_UMAP_x,CLOOB_UMAP_y,CLOOB_TSNE_x,CLOOB_TSNE_y,CLOOB_nogap_PCA_x,CLOOB_nogap_PCA_y,CLOOB_nogap_UMAP_x,CLOOB_nogap_UMAP_y,CLOOB_nogap_TSNE_x,CLOOB_nogap_TSNE_y,CLOOB_LAION400M_PCA_x,CLOOB_LAION400M_PCA_y,CLOOB_LAION400M_UMAP_x,CLOOB_LAION400M_UMAP_y,CLOOB_LAION400M_TSNE_x,CLOOB_LAION400M_TSNE_y,CLOOB_LAION400M_nogap_PCA_x,CLOOB_LAION400M_nogap_PCA_y,CLOOB_LAION400M_nogap_UMAP_x,CLOOB_LAION400M_nogap_UMAP_y,CLOOB_LAION400M_nogap_TSNE_x,CLOOB_LAION400M_nogap_TSNE_y
0,0,image,-0.4163158202128589,-0.0728144595087841,1.3927673,2.7252994,-12.596041556847991,-2.367621091122624,0.08659800209495916,0.0015218094457766472,-1.6580082,7.560892,-3.8533704178169588,-3.1070261024054444,-0.44156315650963074,-0.16069653709258297,20.95231,1.0531734,-14.440253072268332,-1.1382423825383337,-0.18322191272890898,-0.11813884312315678,8.961411,18.621706,-0.21546650552101823,-2.4246920838737887,-0.36381646577801635,-0.021662155513995338,12.836741,7.245686,6.414234975121534,5.422036280374216,-0.30280166620881466,-0.0020137313841898756,17.666645,3.928676,2.1641240006526448,0.9909858818299467,0.23790548072826945,-0.15513533716374123,17.091152,8.519441,-12.480636737635347,-4.9555363329015085,-0.2877144835279248,0.06733997431899913,-1.8301058,10.890171,12.638605011477628,-6.86674705698566
1,1,image,-0.3659251955460029,0.020775320313765933,0.72202533,1.9242476,-17.264992815441232,-5.241492380068652,-0.039471032973662126,0.01128799476557879,-2.5749228,7.7986765,-5.05235102665157,11.431993976875017,-0.4389870239730943,0.012941258736214267,20.965815,1.3771225,-13.577356597744373,-2.730196055795534,0.006967774546671654,-0.17715393463321252,8.969413,19.439085,-2.5218666780130663,1.2975549080919828,-0.07776392477916358,-0.14691582517659046,12.970237,7.7946486,4.496850083295184,2.778577364501281,0.018540067392000835,0.030380165859007546,18.020252,2.8420064,4.689904521933203,-2.8359433087951773,-0.19381789394815135,-0.03460425357214533,17.232895,7.8139887,-14.402162088286259,-10.978434776701178,0.1612109596460104,0.05900246195004095,-2.0009503,10.199674,-13.085866680983663,5.430928045468234
2,2,image,-0.39480380010261495,0.0455808795764869,-1.191243,2.2238376,-18.783191240846527,0.8946243548811585,-0.067096426678851,-0.1071918861533432,-0.034210283,9.294921,-2.7532902996169364,7.538548589437847,-0.4333399346106203,0.10198503581235246,22.763868,0.7020269,-13.390596633543781,4.439847194762765,0.11187561341167657,-0.01918520456643357,11.141557,16.575298,8.19114240593579,7.383225563363609,-0.10484078953626734,-0.30963463421627224,11.27924,8.086187,-1.8209648824907338,10.336484869753761,0.04834074130034411,-0.30309618731223364,14.024954,4.301174,9.786337353365838,-7.219994252333545,-0.16639977756167817,-0.17861545874931842,14.056732,6.8995676,-1.7896998490180083,11.461001838569523,0.14053161477604809,-0.1672532547204716,-0.7355128,7.16048,0.6538769994585992,11.486325441498302
3,3,image,-0.3823065366554893,0.10644501542434415,-0.5617783,1.1639079,-20.226452173059243,-4.6699972158208745,-0.15679537389184553,0.11412482807778675,1.7218654,9.361139,4.972732782103745,9.77913421095124,-0.41846972287998624,0.0805425959220265,21.041288,2.43662,-21.96805185065449,1.8880941454269586,0.09571138564968593,0.08976517557608779,9.706989,15.516378,-1.2106557393211057,10.394396522469236,0.009015698287393568,-0.2418637994515726,9.620764,6.6795325,2.0526630432505026,15.339403800853692,0.15170149045219522,0.0450257402735161,14.294727,5.390638,-4.286384477898857,15.165702132776007,-0.20008660606999518,0.05449302364570073,14.562668,6.09728,5.422053522653438,10.669447296029444,0.18296214143700917,0.09104462913764062,-0.052754804,7.7891793,1.629224641248744,16.691387580319695
4,4,image,-0.28434799422370993,0.06299193774955139,0.4855001,4.681588,-8.913818832115878,3.0195533732986997,-0.10639175103007892,0.39483538058026524,1.3586581,5.480487,2.7443362305399615,-9.767740188855667,-0.42757909904197505,-0.17526028456775608,22.237446,3.6010215,-17.989256771157134,-2.7054357650381764,-0.18377389106044137,0.15247324656782563,6.764042,17.640707,-9.74784760508846,-2.8633664255210047,-0.243048028733011,-0.020953445836060274,12.691521,9.15075,6.324793643990618,-2.5748979103803626,-0.16957152707467166,0.2468432661472021,15.133571,0.8885628,1.1799829727372149,-12.385886606140865,-0.1971130069268257,0.04456654070742462,19.136568,5.9880133,2.4386586202002514,-12.91372126582735,0.1688379938194406,0.1579760934212764,-2.0374932,5.710324,-0.5849123058671168,-16.924431592981904
5,5,image,-0.37628333343317144,-0.11690532834263044,1.2543558,2.333353,-12.350701680107852,-3.1044547631040444,0.1387865697593969,0.0019237685594074012,-2.0486689,7.7206707,-4.969956942416378,-2.8817685904628574,-0.43856685684650626,-0.16644829739522463,20.88968,1.2620765,-14.404350868729479,-1.2886393721185994,-0.1893462631094618,-0.10730839900101387,9.143795,18.885658,-1.0120297439959562,-1.9232266509865992,-0.21608480230889598,0.022714768494721215,12.779804,7.421562,5.169667217941297,4.692408419645932,-0.18857660988829722,-0.002154752766523548,17.739902,3.5769432,1.1307912208119941,0.34814000034233183,0.28619835066273136,-0.15142393096786042,17.326445,8.271004,-10.622315126962278,-3.9525820135215675,-0.346999030592672,0.07660010402133775,-1.7346162,10.837964,11.10424385583583,-5.60098832099467
6,6,image,-0.4227467314282511,0.06520285515000313,0.92028713,3.6818216,-10.534957519480114,0.46783488761188197,-0.10995875974567157,0.2077501102456881,0.07386803,5.457416,7.302470138092947,-7.87782062805363,-0.42925575659860893,0.004978498278678864,22.676458,3.110573,-19.107502546758415,-0.19223315748688077,0.013885582320646192,0.13644489924159203,8.217213,14.488701,9.351148717738017,-7.908271080788178,0.13985398114034242,-0.1695491906080509,8.569357,7.6509924,-9.04334325931535,-3.910536862318114,0.2356117090598916,0.08242839116306712,16.480093,5.965794,4.393987330655666,10.167683728272259,-0.35528709070985337,-0.15738720068179185,17.21953,3.5147398,11.396401592748555,-9.830365196670762,0.32338222816955026,-0.11297191924606227,1.4011874,6.669763,-17.303424978365875,3.5885089444460356
7,7,image,-0.328949452606569,-0.10879013519238052,-0.040071256,4.0822253,-12.473631122851398,3.512649739825017,0.1254751334486663,-0.011562254973091764,0.7528449,6.762955,-3.7515045600293258,-8.059714080534308,-0.4672563968727907,-0.15774350928064199,21.919386,1.7426705,-15.908486236978844,-0.5381509382958956,-0.18627309544943618,-0.13468965152827242,9.988245,19.227533,-3.5578459800050064,-3.3371922188159315,-0.4212128150676623,0.01828210086880696,12.369146,8.568141,5.371617061441963,1.1267075211143287,-0.37089408159638115,0.1191774158987864,16.059147,1.6680896,-1.744869661159104,-6.5015610129831645,0.3445936958069614,0.13021855220806425,19.138342,7.5571375,-6.969067479840015,-8.480781094359822,-0.384847316909075,0.29723799856063354,-2.882346,6.050908,9.232640972320828,-9.224537822154732
8,8,image,-0.2842373692433853,0.07463005493770047,0.5812435,4.5753345,-8.2390602775121,2.504615250360981,-0.125798746789491,0.3888612664688938,1.4257185,5.8261395,3.584406551482917,-10.093169543970737,-0.41056618525724686,-0.034767276920503916,22.61038,3.4062839,-19.65968472571602,-3.804101418426006,-0.02368135045428244,0.2069457400221903,7.0824847,16.876873,-10.236516862735208,-1.273573899929112,-0.022660859897521788,-0.052724817990001636,11.600293,10.171688,3.4018640986299795,-12.5519188120733,0.03614103210999595,0.12959289709831306,15.573081,0.37728,5.095348547427093,-11.328094013259449,-0.0934622607019938,0.2745020336415118,18.36261,5.952751,3.017423640893411,-8.686121499785754,0.0905036518451778,0.35310829819523165,-3.2749987,7.101428,-1.627148690012721,-10.917151055616804
9,9,image,-0.4022390232220045,-0.06501536189359236,1.4719927,2.5432773,-14.740628326196992,-2.68893790420334,0.0826381944588888,-0.15390052714067487,-1.8012435,7.3640685,-2.2645475408711397,0.4242016209833954,-0.44505511047486634,-0.005022310755727825,21.836222,0.51232016,-16.261457133791467,2.8847238084839613,-0.006918945528371731,-0.0034397620619066034,10.277492,17.99196,2.3778038329174502,0.17737753298736572,-0.1773686920503127,-0.2250279181113112,12.294507,6.8507185,6.8725439041771885,7.492419695793026,-0.051714315722892104,-0.17300377957453472,16.989908,3.3497972,-0.9943840373697768,0.4806117644212862,-0.014190050069464276,-0.28747654823036256,16.32725,8.690588,-13.964151081865673,3.5026540285894954,-0.034139463602758775,-0.16183250847454972,-0.6052931,10.6556225,15.814764382501354,2.029964533393149
