,emb_id,data_type,CLIP_PCA_x,CLIP_PCA_y,CLIP_UMAP_x,CLIP_UMAP_y,CLIP_TSNE_x,CLIP_TSNE_y,CLIP_nogap_PCA_x,CLIP_nogap_PCA_y,CLIP_nogap_UMAP_x,CLIP_nogap_UMAP_y,CLIP_nogap_TSNE_x,CLIP_nogap_TSNE_y,CyCLIP_PCA_x,CyCLIP_PCA_y,CyCLIP_UMAP_x,CyCLIP_UMAP_y,CyCLIP_TSNE_x,CyCLIP_TSNE_y,CyCLIP_nogap_PCA_x,CyCLIP_nogap_PCA_y,CyCLIP_nogap_UMAP_x,CyCLIP_nogap_UMAP_y,CyCLIP_nogap_TSNE_x,CyCLIP_nogap_TSNE_y,CLOOB_PCA_x,CLOOB_PCA_y,CLOOB_UMAP_x,CLOOB_UMAP_y,CLOOB_TSNE_x,CLOOB_TSNE_y,CLOOB_nogap_PCA_x,CLOOB_nogap_PCA_y,CLOOB_nogap_UMAP_x,CLOOB_nogap_UMAP_y,CLOOB_nogap_TSNE_x,CLOOB_nogap_TSNE_y,CLOOB_LAION400M_PCA_x,CLOOB_LAION400M_PCA_y,CLOOB_LAION400M_UMAP_x,CLOOB_LAION400M_UMAP_y,CLOOB_LAION400M_TSNE_x,CLOOB_LAION400M_TSNE_y,CLOOB_LAION400M_nogap_PCA_x,CLOOB_LAION400M_nogap_PCA_y,CLOOB_LAION400M_nogap_UMAP_x,CLOOB_LAION400M_nogap_UMAP_y,CLOOB_LAION400M_nogap_TSNE_x,CLOOB_LAION400M_nogap_TSNE_y
0,0,image,0.44169283,0.6767268,16.491096,4.8712087,14.361693777629796,1.3131004620678068,0.7411053,-0.21279907,-6.7261233,1.3159219,9.497510597129565,0.3350226841560317,0.48092952,0.43685716,14.688634,0.81853473,12.797034270869291,1.9858927308951906,0.4891699,-0.14131163,-3.8183634,5.4570823,5.893857487529719,3.809672223693924,0.39608258,0.7857469,13.865511,2.4925365,15.826623030293723,1.1189258227587913,0.8269709,0.6587483,6.7883263,-0.44694784,6.833525867122132,2.0072545007281586,0.33290973,0.45137075,10.696958,5.839352,-7.518987718729363,2.538646008695842,0.47999656,0.8099361,15.012713,7.1764474,0.44578325189009155,-1.6868579215556248
1,1,image,0.4635128,0.6493765,16.593512,4.930221,14.31724339165936,1.257906139901566,0.71732354,-0.19038452,-6.650928,1.2857372,9.416856649204846,0.3279854374538627,0.48456016,0.42055067,14.690884,0.8431124,12.753738968659333,1.945451815887113,0.47210976,-0.13609897,-4.058715,5.508309,5.857905684277638,3.7916557318380284,0.36162046,0.7902485,13.936022,2.4184046,15.810648347405541,1.1224947891221486,0.82176036,0.65993875,6.7135386,-0.43955132,6.803241779189802,2.008048175624297,0.43107355,0.4022026,10.46632,5.3726416,8.071561717443757,-1.1802181294260374,0.49281943,0.7184401,14.894066,10.573287,6.965657701372459,-0.7198234347783138
2,2,image,0.52064645,0.6104654,16.492065,4.7577333,14.183161630979455,0.9877207098704122,0.69125336,-0.018561667,-6.837193,1.1972753,9.024004768823264,0.1518288086100282,0.48802045,0.3883966,14.672551,0.7187937,12.696158392252364,1.924272931880698,0.4372635,-0.100450516,-3.9478943,5.5471654,5.822828406606399,3.7624605672780738,0.49079275,0.81272185,13.700303,2.544296,15.650297461586447,1.1459510623373674,0.8959729,0.5213127,6.738109,-0.38182944,6.636484170101296,1.987308703501926,0.5862102,0.44163465,10.350654,5.195642,8.170938238216317,-1.330856748687035,0.6085403,0.7010618,15.013268,10.638238,6.824300759364065,-0.5406477062150736
3,3,image,0.53124106,0.5866464,16.455694,4.583248,14.185488248348797,0.8972216688346251,0.66855997,0.044396795,-6.9894075,1.041923,8.932900085070205,0.03599169516481685,0.49493334,0.3684731,14.605799,0.71763545,12.567586676605426,1.9096799866745933,0.4165387,-0.04890484,-3.9970536,5.5543704,5.819866471324071,3.6649376866219994,0.53065574,0.7973663,13.676963,2.5906887,15.554377236563624,1.1633166544489493,0.8959738,0.4244317,6.7494226,-0.22336063,6.531434963353438,2.006783955272855,0.65238625,0.4537754,10.139082,5.013125,8.264302810116178,-1.4704180629189758,0.65884185,0.5271923,15.071785,10.885735,6.725250467798152,-0.36387415580212823
4,4,image,0.54223186,0.5597866,16.422213,4.5573325,14.140881685574225,0.8414721827660119,0.6410744,0.05734593,-6.9514375,1.074362,8.875196313570768,0.01912180442469722,0.48991156,0.33871847,15.852657,0.43712947,11.857521078445462,1.9070225579843074,0.38283265,0.080944054,-4.885275,5.8991942,6.461116297005703,2.0682304533390603,0.54573894,0.7609535,13.444268,2.5442226,15.41630606533696,1.2042206242195972,0.8670764,0.3407255,6.9374666,-0.09714589,6.343232204767836,2.0738454592512965,0.58896816,0.49916723,10.001991,4.877687,8.361495241945208,-1.6585697185042343,0.6644977,0.4505552,15.153347,10.884246,6.5913865340181825,0.08746131423766546
5,5,image,0.54882824,0.5034601,16.357405,4.4025416,14.163524938916462,0.6648688722893761,0.5799261,0.15118058,-7.057866,0.94308513,8.75924746049032,-0.20372557628016694,0.48328474,0.31339017,16.074448,0.45442715,11.356242140161083,1.9673067093657663,0.35343742,0.20658523,-5.1235332,5.9385576,6.68415485877705,1.5647544469068908,0.61949366,0.65125495,13.188715,2.3974104,15.025167818915653,1.3285080246749652,0.7834814,0.17570601,6.867152,0.27806386,5.763181900790308,2.3327258080083557,0.69409126,0.49421516,9.9001465,4.766776,8.611720364848146,-1.898136425340727,0.72067463,0.15886895,15.330574,11.07026,6.4696806838451115,0.37963585073211
6,6,image,0.5502947,0.51605153,16.199697,4.070772,13.991702091937904,0.5096111772385171,0.5952374,0.16862224,-7.256203,0.65247506,8.470656793545656,-0.2850598089706165,0.48219076,0.31272173,16.047106,0.41933352,11.367837164781825,1.9978814848708122,0.35243943,0.19517705,-5.119177,5.964999,6.687800078698768,1.5577075572640093,0.6261016,0.5770694,12.7763,2.2823858,14.595631559064696,1.3663604864739158,0.70496637,-0.019620763,6.902384,0.644996,5.141196610258319,2.5731742708399246,0.74269795,0.52113634,9.802322,4.63408,8.967889912512483,-2.2006954336404294,0.7754127,-0.05075423,15.538572,11.283729,6.193181577781237,1.0648643857313407
7,7,image,0.5569941,0.49823946,16.06567,3.7931356,13.979337717075008,0.3011512401578285,0.5788013,0.23743518,-7.357952,0.47989917,8.190799682695713,-0.5785276935795806,0.487834,0.27446938,16.120913,0.3951885,11.184164827702771,1.9795852219138648,0.31083083,0.24481285,-5.2960224,5.9548407,6.746749725081777,1.3893973446308154,0.62530184,0.56034535,12.628094,2.1926963,14.434359187021554,1.3759307847813087,0.6900931,-0.07191403,6.867155,0.7411408,4.952486920635331,2.639254838653005,0.7544112,0.44674495,9.648664,4.58684,9.114577824180035,-2.323527571348848,0.7149001,-0.15368058,15.606722,11.34622,6.092800554812424,1.3160871770658324
8,8,image,0.5676717,0.4611136,16.09161,3.6998851,13.883693249311333,0.1973523024805093,0.53832924,0.2543048,-7.3946085,0.4233528,7.988322536569616,-0.7365693400603404,0.4959838,0.25915915,16.273237,0.48466542,11.185045572608221,1.8733926031987698,0.29510036,0.21498635,-5.270905,5.9894285,6.760953670784006,1.3148062571014545,0.6227013,0.41965976,12.466871,2.1930707,14.17459507297736,1.3011108171699866,0.5293036,-0.16824885,6.8313847,0.8023791,4.700346734005638,2.7097812785507647,0.6914684,0.36287594,9.541108,4.400687,9.11275343383284,-2.569432140415307,0.6016615,-0.1719474,15.697956,11.534369,6.055178290886576,1.5698264836976752
9,9,image,0.57970715,0.3926787,15.965454,3.569272,13.83035878942285,-0.02748673029561669,0.46276045,0.30898413,-7.448724,0.3395255,7.771697132632604,-0.950307918448541,0.5067306,0.24917942,16.422827,0.31020465,11.055204748568329,1.787036295563665,0.2852543,0.23223403,-5.4507103,5.976839,6.838671045182383,1.0383728855849366,0.62818825,0.44855064,12.337418,2.0760508,14.130075700760068,1.3560196726336382,0.5646327,-0.16432215,6.967056,0.9662,4.612969720282137,2.742218644865144,0.6967762,0.3557032,9.501735,4.367338,9.14882856070477,-2.6375816151166576,0.5972801,-0.19037268,15.702832,11.651876,6.0204192763095215,1.6529273426840192
