,emb_id,data_type,CLIP_PCA_x,CLIP_PCA_y,CLIP_UMAP_x,CLIP_UMAP_y,CLIP_TSNE_x,CLIP_TSNE_y,CLIP_nogap_PCA_x,CLIP_nogap_PCA_y,CLIP_nogap_UMAP_x,CLIP_nogap_UMAP_y,CLIP_nogap_TSNE_x,CLIP_nogap_TSNE_y,CyCLIP_PCA_x,CyCLIP_PCA_y,CyCLIP_UMAP_x,CyCLIP_UMAP_y,CyCLIP_TSNE_x,CyCLIP_TSNE_y,CyCLIP_nogap_PCA_x,CyCLIP_nogap_PCA_y,CyCLIP_nogap_UMAP_x,CyCLIP_nogap_UMAP_y,CyCLIP_nogap_TSNE_x,CyCLIP_nogap_TSNE_y,CLOOB_PCA_x,CLOOB_PCA_y,CLOOB_UMAP_x,CLOOB_UMAP_y,CLOOB_TSNE_x,CLOOB_TSNE_y,CLOOB_nogap_PCA_x,CLOOB_nogap_PCA_y,CLOOB_nogap_UMAP_x,CLOOB_nogap_UMAP_y,CLOOB_nogap_TSNE_x,CLOOB_nogap_TSNE_y,CLOOB_LAION400M_PCA_x,CLOOB_LAION400M_PCA_y,CLOOB_LAION400M_UMAP_x,CLOOB_LAION400M_UMAP_y,CLOOB_LAION400M_TSNE_x,CLOOB_LAION400M_TSNE_y,CLOOB_LAION400M_nogap_PCA_x,CLOOB_LAION400M_nogap_PCA_y,CLOOB_LAION400M_nogap_UMAP_x,CLOOB_LAION400M_nogap_UMAP_y,CLOOB_LAION400M_nogap_TSNE_x,CLOOB_LAION400M_nogap_TSNE_y
0,0,image,0.42813906,0.4318245,4.282806,4.5926905,16.072557850180175,0.4843776896371704,0.49419332,-0.19555031,15.032396,-7.993513,7.802816205780373,-0.06265079990595068,0.45184729,0.31261212,7.146056,6.174677,14.712336261316228,3.0552360514157626,0.34939784,0.12501654,-3.1937208,-18.82166,-7.406382858978706,2.8782412290049644,0.32848978,0.5354656,14.434925,8.533028,13.934518979420785,3.6041082399775326,0.61618704,0.17199515,-6.019716,-0.583661,-8.45486020158694,-0.1442058490218934,0.116722904,0.5659612,11.923214,4.857003,6.33097556280068,0.8010641767373238,0.58714557,0.1669327,2.8209112,13.99304,7.254025740630629,0.3147114620496737
1,1,image,0.45638618,0.42944375,4.345345,4.489582,16.042544506634865,0.5140114850947716,0.49053538,-0.19783543,14.984495,-7.9447546,7.77604650537196,-0.09421953811133901,0.46395355,0.29569933,7.130317,6.2476153,14.675583079292585,3.006246072981716,0.33221868,0.14109382,-3.2025447,-18.714846,-7.386772892611891,2.830988096753975,0.37777853,0.5230626,14.43618,8.429657,13.857253992506237,3.523852163335453,0.58780974,0.17846775,-5.9374876,-0.696671,-8.219468874973735,-0.32033062899160764,0.114722185,0.5387961,11.966337,4.452695,6.211346520885756,0.8112842854654476,0.5652087,0.17339349,2.9596,14.120594,7.453479185894542,0.1898795214277197
2,2,image,0.44639006,0.434856,4.485691,4.5829678,15.989902251877144,0.4886584201230062,0.496206,-0.12174606,15.056362,-8.021273,7.674576733718053,-0.022320088213428266,0.48091784,0.309867,7.3182535,6.158736,14.621039001857396,2.9366727245506734,0.3496775,0.06787824,-3.3304465,-18.622202,-7.315759444871477,2.7951457123422845,0.40856752,0.5085821,14.6104355,8.473123,13.800895261874045,3.446146478121179,0.5634765,0.1410734,-6.0467663,-0.90196157,-8.044148927714168,-0.3186718995882121,-0.0111767305,0.49492028,11.924364,4.4933677,6.088438343602907,0.8259335471347998,0.5523984,0.2593764,2.9859867,14.195824,7.465864406789887,0.2282610202997844
3,3,image,0.4815852,0.39279774,4.625041,4.71394,15.849816902365529,0.5077096958927534,0.4511021,-0.073813744,15.097357,-8.089272,7.5117506588878085,0.06625255418134851,0.4859578,0.26771992,7.2746277,6.262521,14.56130987526804,2.860216153829091,0.30228898,0.030583212,-3.368571,-18.689335,-7.266173140219206,2.783013264639487,0.43276972,0.4629148,14.712244,8.428572,13.725829192792865,3.3483136152559623,0.51060903,0.059871554,-6.1554613,-0.867154,-7.861710874541923,-0.33089417261156184,0.122633934,0.5769045,12.10835,4.429027,6.254077792719695,0.8067539649210993,0.6007219,0.22178581,2.8655236,14.162998,7.371727568282071,0.17728643379678394
4,4,image,0.4984343,0.35487255,4.7089257,4.9443192,15.742721616426458,0.46536399472267514,0.4077463,-0.043167897,14.815178,-7.8059406,7.272221807321976,0.347791626901203,0.5032628,0.22445591,8.944875,6.5820684,14.068359307486338,2.3330570299301545,0.25539526,-0.036722198,-4.2105126,-18.107294,-5.398445225731185,2.7988118735858505,0.46355504,0.40823862,14.855519,8.632499,13.591187001522705,3.2139497253137903,0.4464767,-0.032670837,-6.1387286,-0.90774715,-7.608548193769529,-0.3631701006033262,0.22732024,0.5283235,12.382831,4.712495,6.540417041468437,0.7718662407272469,0.53438973,0.10823155,2.5300553,13.811526,7.066357085793766,0.03141073394693175
5,5,image,0.51208586,0.3281942,4.767317,4.908655,15.705027717452875,0.4388888043972143,0.3797421,-0.074281104,14.7836685,-7.82413,7.1566790779189935,0.4550900949881795,0.505299,0.19338138,9.05309,6.541764,14.00275884179422,2.2434954174239334,0.22011434,-0.016616095,-4.404344,-18.04332,-5.279042252378141,2.8261287132436266,0.54755485,0.25546739,18.714918,9.932498,12.824342725222442,2.5173695153491864,0.27560952,-0.17003304,-75.857025,14.540018,-5.221636084844794,-1.6667054029759087,0.113857746,0.4769267,12.167825,4.8874702,6.491064710061161,0.7816666077315162,0.5099415,0.17692873,2.491269,13.955427,6.986780153310472,0.20952577177449
6,6,image,0.5161182,0.30826023,4.8050327,5.070529,15.714367061590492,0.3926225469748579,0.3589011,-0.07057753,14.8509655,-7.8374834,7.132937581116944,0.5236673351126367,0.51813126,0.17327273,9.2213,6.4100995,13.855513886401889,2.031671295814131,0.1974215,-0.06960746,-4.43971,-17.994234,-5.172398717307134,2.8219237700554496,0.6178924,0.16085938,18.902266,9.9063635,12.265901198715342,2.0033096938249897,0.16529354,-0.17847022,-75.96705,14.613749,-4.955304368740123,-1.8307395778528164,0.313094,0.41568157,12.525458,4.9048567,6.555569081802109,0.7625964985183753,0.41934934,0.08172894,2.466869,13.739136,7.008615938487469,-0.3030101228825396
7,7,image,0.56260276,0.2778025,4.9155483,5.003201,15.483007405413716,0.5158757764774264,0.32064527,-0.022445621,14.676601,-7.701848,7.043402079240636,0.5160532875905451,0.5137728,0.15302688,9.315988,6.3392477,13.750476908230885,1.8617596462176205,0.17392941,-0.06674833,-4.54446,-17.890135,-5.048850335959593,2.8400402079232783,0.597384,0.14428093,18.990185,9.792658,12.208776266437088,1.8323211111652844,0.14896028,-0.19582304,-76.10304,14.7448635,-4.293068979468401,-2.203683313977331,0.27214673,0.4851922,12.486481,4.816846,6.662907526625861,0.7539982224501918,0.48518714,0.09126327,2.3758962,13.86091,6.896062149489852,-0.14020100382919248
8,8,image,0.5566519,0.22812559,5.0556517,5.2513385,15.283262601074867,0.29143486920701894,0.27005532,0.06880686,14.67828,-7.511986,6.43221863615775,0.921337913011499,0.51274735,0.11037028,9.519763,6.3458867,13.517722070840332,1.6877325130844365,0.12506151,-0.0614282,-4.5239086,-18.020086,-4.806598152887578,2.9397925948129093,0.5976409,0.14398794,19.032793,9.792087,12.160191946607798,1.8120546300150122,0.15249199,-0.20923121,-76.1104,14.664897,-4.283296442844305,-2.2118563902972026,0.3437596,0.50368035,12.571856,5.101221,6.868113104628123,0.7219957415262649,0.48919153,-0.038907684,2.2085083,13.996795,6.739068322509613,-0.1430280386356421
9,9,image,0.5840391,0.20896316,5.311158,5.267569,14.752391410057387,0.46926657451827236,0.24850178,0.11941061,14.60666,-7.3619385,6.017580220973381,1.1046427048712855,0.5203491,0.0721215,10.652556,6.0525913,13.073980777701829,1.426768836685725,0.08084278,-0.08869175,-25.949606,-67.823074,-3.800358156851154,3.373637938553054,0.6644476,0.059810825,19.1029,9.709221,11.941738810291854,1.4967578356003701,0.031137194,-0.18850169,-76.34045,14.900505,-4.151274884389863,-2.2676122925180247,0.333191,0.46562472,12.618768,5.265437,7.046970401761238,0.7135835208577986,0.45875147,0.021445857,2.0205247,13.9525,6.278493645031791,0.004799264637878666
