,emb_id,data_type,ImageBind_PCA_x,ImageBind_PCA_y,ImageBind_UMAP_x,ImageBind_UMAP_y,ImageBind_TSNE_x,ImageBind_TSNE_y
0,0,image,-0.42355881802377626,-0.12082429584629338,12.0243225,11.667218,-20.635044753746477,3.18645431855113
1,1,image,-0.4039263009816911,-0.3814078012581655,9.628397,12.028269,-13.175580038009878,3.021924349251496
2,2,image,-0.45633482917167323,-0.37215638581236216,9.249971,10.784842,-14.154684586260535,5.835174696368242
3,3,image,-0.3658634502620154,-0.11176317603676342,11.737031,11.116299,-18.512494947821267,2.2100805071074525
4,4,image,-0.4409213445978957,-0.30870815284663394,9.459687,12.557626,-13.837865156539182,1.1497065489985625
5,5,image,-0.42578523804097096,-0.10538106597483858,12.033832,10.979691,-19.681033575067346,0.2100348452316235
6,6,image,-0.3893671130929793,-0.17882922708231933,11.873577,11.818856,-20.778979988948265,5.072896908193473
7,7,image,-0.4444025528358419,-0.06169676562638953,11.536709,10.851982,-17.387212198616876,1.1114915253653423
8,8,image,-0.4521329361117448,-0.2802510436126023,9.509139,12.246679,-12.825399866236754,2.2105640018067865
9,9,image,-0.43613932415690804,-0.1052336307583206,12.047892,10.656274,-19.074415663695117,-0.21521977354436492
10,10,image,-0.3352716010453136,-0.25637176764018277,9.553645,12.285325,-12.01974917623983,2.3788350585866604
11,11,image,-0.43591901520809556,-0.17469359424501785,12.081918,11.587951,-20.36512376678594,2.595986122411555
12,12,image,-0.37844055499233886,-0.13691156477659316,11.7294035,10.700588,-18.450745722733945,0.4293143688949353
13,13,image,-0.49945115893703285,-0.177054273627815,11.8998995,11.74052,-20.209723068873284,3.2864615774003454
14,14,image,-0.4662015857739237,-0.20485478195272752,11.658918,11.2294035,-18.86266969854035,1.6560174143886248
15,15,image,-0.43380105076810865,-0.26715548874550027,9.391136,11.212454,-11.585339910403848,6.6366427999365
16,16,image,-0.44539231063431917,-0.1408269640905845,11.896775,11.010611,-18.773844546966377,1.623346338859366
17,17,image,-0.39080046331256163,-0.01778656488025491,12.117418,12.067407,-21.994546499079032,3.60535954079009
18,18,image,-0.3380897490620225,-0.32436462383671727,9.35093,10.793534,-12.607164082266594,5.181430372384364
19,19,image,-0.45462209715317786,-0.12366512107739479,11.944186,11.719602,-19.749961138560973,3.4719779302366036
20,20,image,-0.4211689988946302,-0.1331802446090251,11.294214,10.835869,-17.107587803612233,1.8756442049702968
21,21,image,-0.3914177719771713,-0.27834679819908953,9.466925,11.887317,-12.207300257469113,3.6963212085762764
22,22,image,-0.37550912371537315,-0.33569231510970604,9.329309,10.863303,-13.401275903359991,5.923579517100612
23,23,image,-0.32841560588652885,-0.21938499046686788,10.8716,11.7937975,-19.03987511935589,7.600535091135417
24,24,image,-0.3608761024905873,-0.30312918276031925,10.616556,11.462297,-17.313377624961227,6.240460406922587
