,emb_id,data_type,CLIP_PCA_x,CLIP_PCA_y,CLIP_UMAP_x,CLIP_UMAP_y,CLIP_TSNE_x,CLIP_TSNE_y,CLIP_nogap_PCA_x,CLIP_nogap_PCA_y,CLIP_nogap_UMAP_x,CLIP_nogap_UMAP_y,CLIP_nogap_TSNE_x,CLIP_nogap_TSNE_y,CyCLIP_PCA_x,CyCLIP_PCA_y,CyCLIP_UMAP_x,CyCLIP_UMAP_y,CyCLIP_TSNE_x,CyCLIP_TSNE_y,CyCLIP_nogap_PCA_x,CyCLIP_nogap_PCA_y,CyCLIP_nogap_UMAP_x,CyCLIP_nogap_UMAP_y,CyCLIP_nogap_TSNE_x,CyCLIP_nogap_TSNE_y,CLOOB_PCA_x,CLOOB_PCA_y,CLOOB_UMAP_x,CLOOB_UMAP_y,CLOOB_TSNE_x,CLOOB_TSNE_y,CLOOB_nogap_PCA_x,CLOOB_nogap_PCA_y,CLOOB_nogap_UMAP_x,CLOOB_nogap_UMAP_y,CLOOB_nogap_TSNE_x,CLOOB_nogap_TSNE_y,CLOOB_LAION400M_PCA_x,CLOOB_LAION400M_PCA_y,CLOOB_LAION400M_UMAP_x,CLOOB_LAION400M_UMAP_y,CLOOB_LAION400M_TSNE_x,CLOOB_LAION400M_TSNE_y,CLOOB_LAION400M_nogap_PCA_x,CLOOB_LAION400M_nogap_PCA_y,CLOOB_LAION400M_nogap_UMAP_x,CLOOB_LAION400M_nogap_UMAP_y,CLOOB_LAION400M_nogap_TSNE_x,CLOOB_LAION400M_nogap_TSNE_y
0,0,image,0.45185727,-0.35299033,5.1781535,3.4421852,11.526094709954718,-5.484734194217947,-0.3272561,-0.36158824,3.493153,-0.19864738,-9.375800390218428,1.8443967879803949,0.4053255,-0.20861118,15.630677,6.8840966,9.92687364961178,-5.745420742883034,-0.21516739,0.290077,4.6240077,7.01773,-12.658615667987776,1.0743531401120356,0.12275077,-0.46015742,18.92176,8.113846,8.938683786667205,-5.798685990341209,-0.36468223,0.5611278,16.18597,1.528756,-8.60199848863685,1.1521008773825447,0.08598056,-0.38686103,2.2643554,5.091805,7.739318630052148,-4.633909972898883,-0.25316593,-0.4144221,-0.5684331,4.6972065,-5.257516119527389,6.92729852328325
1,1,image,0.4543152,-0.35449442,5.3294463,3.5146945,11.529712758221697,-5.459157677075019,-0.32928082,-0.36302722,3.4417295,-0.17803445,-9.346039953781169,1.8429299718075867,0.40629968,-0.20787951,15.661797,6.9312334,9.927812948490049,-5.74364547034453,-0.21446927,0.28997394,4.6848564,6.9698696,-12.65603452481478,1.0734265771637337,0.11302873,-0.4753356,18.850933,8.127232,8.94582592743034,-5.786233235249761,-0.37569514,0.59456867,16.240597,1.4817228,-8.577457544138547,1.1598998895985564,0.08816646,-0.38684878,2.2558448,5.0678167,7.7425936934357,-4.631027614208104,-0.25305188,-0.41710097,-0.5220896,4.6557484,-5.252898259529964,6.9268946018372715
2,2,image,0.4608958,-0.3634445,5.226122,3.5148625,11.534757806180654,-5.411160508512047,-0.34053215,-0.36117378,3.4138913,-0.26302776,-9.284939182598873,1.8397094469178112,0.40678218,-0.21129283,15.609426,6.8559933,9.935014569827917,-5.723903985827947,-0.218138,0.29009733,4.772162,6.938609,-12.628631724606407,1.0708065589214908,0.12550965,-0.51833487,18.897934,8.12981,8.981942852820055,-5.732939159916826,-0.41128358,0.628977,16.338152,1.5096804,-8.505048440044504,1.1817735633047755,0.09423196,-0.38873693,2.2948537,5.0679016,7.751709752141837,-4.623365396976344,-0.25423753,-0.42696065,-0.5816501,4.7477283,-5.237610643087731,6.921500239698267
3,3,image,0.4693241,-0.37657684,5.300587,3.3381975,11.543054131765365,-5.3471824084696316,-0.3571438,-0.35812917,3.4678895,-0.36427322,-9.203216664713255,1.8353658438214122,0.41205886,-0.21503271,15.713169,6.9013047,9.943770573568141,-5.701129927190512,-0.22280829,0.28258377,4.737846,6.8703876,-12.593119191284313,1.0685912974741607,0.1603385,-0.5591478,18.86821,8.004444,9.026182300171813,-5.667376088467463,-0.4496242,0.61389416,16.323833,1.4131005,-8.426195812633887,1.20655701396883,0.09723354,-0.38550624,2.2423565,5.1610923,7.754157557127664,-4.619029346290558,-0.25070384,-0.44081116,-0.44294804,4.657105,-5.225577329019138,6.916012108446833
4,4,image,0.47590965,-0.37994033,5.1676297,3.310146,11.548671386652975,-5.309377097194715,-0.36286062,-0.35497206,3.5785038,-0.553945,-9.154018348705655,1.8331657887530663,0.4156381,-0.21643247,15.720199,6.9314713,9.949613681122532,-5.6859827069081845,-0.22468868,0.2859936,4.7872047,6.7773294,-12.57188127157622,1.0669769675294916,0.18032655,-0.5781013,18.758156,7.9816055,9.062964897399423,-5.613116895026777,-0.4674319,0.62294996,16.353676,1.4334043,-8.351597614102147,1.2275932208209859,0.10846899,-0.38646892,2.2484818,5.162365,7.754549819696433,-4.6180454522630665,-0.25118524,-0.4464481,-0.4041778,4.746773,-5.225664200705286,6.915838483817358
5,5,image,0.4823934,-0.38364637,5.228622,3.1998215,11.553777591273496,-5.280616337323104,-0.3688882,-0.34723473,3.5589309,-0.51706827,-9.124173950392837,1.8317213262016994,0.4172241,-0.22604041,15.798147,6.8047557,9.95773451336549,-5.661487085756165,-0.23525357,0.28719154,4.7290645,6.687921,-12.54565059317244,1.0628217804936522,0.1999761,-0.61313033,18.877321,7.8260074,9.10797513416178,-5.545565685466221,-0.5028208,0.5867048,16.411541,1.3084817,-8.25571235696094,1.2553787308547162,0.12637779,-0.40599215,2.1603997,5.303767,7.780090682199401,-4.591156155156643,-0.26853228,-0.44190735,-0.28188723,4.683811,-5.187160560340975,6.902971204346856
6,6,image,0.4865651,-0.37911916,5.3086386,3.1150258,11.553659854398218,-5.268583491955843,-0.36524558,-0.3640815,3.6573884,-0.635568,-9.101536976856641,1.8300443183169102,0.42554379,-0.23573345,16.099426,6.7774324,9.985940720424052,-5.584807166089637,-0.24707338,0.26276106,4.595595,6.4566097,-12.439892205264789,1.0526641802309467,0.2175774,-0.60820484,18.865652,7.777207,9.144879151691992,-5.489844086420399,-0.50012285,0.5797177,16.345634,1.1838081,-8.18184624522394,1.2763136989497372,0.1396688,-0.39783818,2.026882,5.60044,7.780062782038263,-4.592527847431794,-0.26097995,-0.45119476,0.032537345,4.7413187,-5.18777439959235,6.903117165165203
7,7,image,0.49244833,-0.38312986,5.2618003,3.1055484,11.55715745602472,-5.2475002695509545,-0.3718959,-0.34516746,3.6678061,-0.63778543,-9.074362999892385,1.8289242980056075,0.43230546,-0.23239158,16.12392,6.800112,9.98987515239741,-5.575895110116061,-0.2444716,0.25159484,4.5553427,6.3836164,-12.42607503368479,1.0513030976578737,0.24024907,-0.62095064,18.983002,7.685478,9.197078555920022,-5.4093884402874,-0.51645195,0.54406583,16.3362,1.0087055,-8.07036164881184,1.3083624022626206,0.15560578,-0.39881584,1.8910402,5.7723026,7.779988473515841,-4.592069851975842,-0.26146707,-0.4567832,0.11056675,4.6891565,-5.188138751656682,6.902612798364962
8,8,image,0.5009629,-0.38905403,5.303194,2.8578744,11.566164431140539,-5.175447880790689,-0.3814041,-0.34288386,3.8221664,-0.8088471,-8.989559995574462,1.8234669522222513,0.42987287,-0.24182698,16.153502,6.8506374,10.0035543752352,-5.537295607195263,-0.25444195,0.24806246,4.5453935,6.343423,-12.367198837375891,1.0459485905426633,0.25933164,-0.596765,19.026382,7.671817,9.247127264269427,-5.331677970522797,-0.4973131,0.50078267,16.347614,0.88165605,-7.969984897649958,1.335293615407685,0.15720692,-0.40694842,1.847229,5.8244734,7.79422038210541,-4.577979332660766,-0.26952532,-0.44267026,0.22114101,4.7158074,-5.165440184560574,6.896345384441153
9,9,image,0.5081707,-0.38612586,5.362477,2.721901,11.579005406430776,-5.074738102330562,-0.3810367,-0.3213103,3.8995204,-0.89357144,-8.865055260228498,1.8165289138537088,0.43379506,-0.2459815,16.453407,6.655895,10.031423991622427,-5.4647550345200235,-0.2597356,0.23018229,4.497541,6.2769585,-12.262790627020342,1.0345826883354845,0.2799922,-0.61276996,19.204733,7.5080214,9.269069256451344,-5.298963660909378,-0.51602554,0.4853991,16.437075,0.80399114,-7.921583562857212,1.349891553920382,0.17557865,-0.4245354,1.7819593,5.906167,7.820169700583579,-4.550866684151821,-0.2858053,-0.43744475,0.30553862,4.6089025,-5.126511126734591,6.882189442901352
