,emb_id,data_type,CLIP_PCA_x,CLIP_PCA_y,CLIP_UMAP_x,CLIP_UMAP_y,CLIP_TSNE_x,CLIP_TSNE_y,CLIP_nogap_PCA_x,CLIP_nogap_PCA_y,CLIP_nogap_UMAP_x,CLIP_nogap_UMAP_y,CLIP_nogap_TSNE_x,CLIP_nogap_TSNE_y,CyCLIP_PCA_x,CyCLIP_PCA_y,CyCLIP_UMAP_x,CyCLIP_UMAP_y,CyCLIP_TSNE_x,CyCLIP_TSNE_y,CyCLIP_nogap_PCA_x,CyCLIP_nogap_PCA_y,CyCLIP_nogap_UMAP_x,CyCLIP_nogap_UMAP_y,CyCLIP_nogap_TSNE_x,CyCLIP_nogap_TSNE_y,CLOOB_PCA_x,CLOOB_PCA_y,CLOOB_UMAP_x,CLOOB_UMAP_y,CLOOB_TSNE_x,CLOOB_TSNE_y,CLOOB_nogap_PCA_x,CLOOB_nogap_PCA_y,CLOOB_nogap_UMAP_x,CLOOB_nogap_UMAP_y,CLOOB_nogap_TSNE_x,CLOOB_nogap_TSNE_y,CLOOB_LAION400M_PCA_x,CLOOB_LAION400M_PCA_y,CLOOB_LAION400M_UMAP_x,CLOOB_LAION400M_UMAP_y,CLOOB_LAION400M_TSNE_x,CLOOB_LAION400M_TSNE_y,CLOOB_LAION400M_nogap_PCA_x,CLOOB_LAION400M_nogap_PCA_y,CLOOB_LAION400M_nogap_UMAP_x,CLOOB_LAION400M_nogap_UMAP_y,CLOOB_LAION400M_nogap_TSNE_x,CLOOB_LAION400M_nogap_TSNE_y
0,0,image,0.5426850096607145,0.2651318270522786,9.042252,7.836011,13.674725634537207,4.7589484633042485,0.3141812858782456,-0.06494126156316975,14.906612,30.393984,7.83634663897278,-4.5427458850091496,0.42723253008358175,0.18773093536848695,10.565949,3.9190156,9.60048689818327,4.286811926329808,0.21301012639091865,0.18726957713856324,-3.4923246,-10.667145,8.439513666702831,-1.8727005259820702,0.4295148716010053,-0.03986490594246612,9.609862,7.7074223,13.128928016741892,-2.927501587333875,-0.008152718098071223,0.3166694796871193,14.37691,11.143348,-5.47099776513918,2.857280940898522,0.0721469358390501,0.30833132181330514,9.483276,8.564821,6.98026650767522,0.8349630842161104,0.4102798810818126,0.19235543297655822,11.622297,-3.5123005,5.80252321390056,3.6505588008011456
1,1,image,0.525080392894212,0.3564643038363731,8.852197,7.5938344,13.77039048679152,4.819638097453774,0.4378357957397879,0.0738765598520859,15.086559,30.279137,7.423357979726541,-4.689885784843459,0.4211209488577527,0.21701943864783924,10.597462,3.9174914,9.605466126120163,4.207409362887272,0.24462820480205286,0.18699532672587252,-3.5867453,-10.726945,8.342685479128006,-1.8272049863681452,0.47500950757232213,0.002966378045108456,9.3868065,7.748513,13.775733243497225,-1.4374155908174442,0.0368938454974809,0.4226477789355196,78.87812,13.782506,-6.4604734927543745,-2.2662901748440394,0.3110002983541522,0.21864657660590167,9.278052,8.520758,6.968436921223893,0.659523717221794,0.2681519107259302,0.3267367232361574,11.444339,-3.4182315,5.496265841913813,4.15076616041873
2,2,image,0.5137874578573359,0.35060043307609534,8.965201,7.4831057,13.762984123028454,4.818165946348406,0.4251503106261741,0.04477066379997828,15.176428,30.177795,7.370460666956237,-4.686563741656853,0.43141164301767426,0.2508504729526246,10.893091,4.115255,9.644534980484758,3.8838854706792545,0.27990189646479763,0.05049924123067478,-3.629588,-10.967701,7.781499074767906,-1.5816865092324648,0.5062866962238985,-0.1340612554568382,9.976859,7.978897,12.374808302826251,-3.2452538562476554,-0.12696730773812953,0.32924278268037405,14.594261,10.997496,-0.3171914670172438,-6.7470847665547335,0.294840911992436,0.23921199399593998,9.232068,8.487104,7.0271225789265594,0.6526618239391535,0.28352530275494925,0.18477271545216983,11.334178,-3.36669,5.4996329986619665,4.140662519637392
3,3,image,0.5288302277334025,0.32980945303090364,9.153753,7.5355344,13.639643956811344,4.7347893424236105,0.389199039916419,-0.04423568514134419,15.114686,30.383242,7.354741660621103,-4.453070103409263,0.4336447369284051,0.27210670785616026,11.069979,4.225731,9.675570473608607,3.699789152437079,0.30304016128426325,-0.009987597577695717,-3.558252,-11.1382065,7.432130199944698,-1.3495968928383113,0.5197825672182994,-0.15859914421831697,10.162754,7.9452057,12.219364120961888,-3.2630674407810303,-0.16297093352376193,0.23033175540958992,14.621503,10.957301,-0.5129227248984974,-6.696236022921886,0.30012956881066755,0.35733063699928386,9.838374,8.323276,7.478879766002759,0.5875727891581559,0.3853495964579273,0.17553866266411122,11.752955,-3.2701952,6.1453561493766005,3.2150899630880696
4,4,image,0.5520380731398232,0.30250842041444465,9.319768,7.804532,13.42615057264909,4.573885664144309,0.3473098511056231,-0.1255430596351517,14.973454,30.809004,7.348048946191252,-3.902405305109001,0.4420818506728097,0.257586805279329,11.191685,4.218175,9.707893849280977,3.5645994640675953,0.2868673072778425,-0.030179878628486388,-3.6418402,-11.345032,7.228167841204999,-1.278295228290537,0.5198392120283268,-0.20754339484881526,10.524254,8.096521,11.936650927174119,-3.0766977090600256,-0.22259734816665241,0.15838554828812523,14.842889,10.798784,-0.8312895833102559,-6.567546391248472,0.32488485812233703,0.3428211343615174,9.742302,8.429459,7.55485666675372,0.5909982779267494,0.3608615305940735,0.19548378096236832,11.798963,-3.279703,6.1290653327382865,3.17088089528558
5,5,image,0.5759735689205926,0.2256127112717279,9.69335,8.097541,13.002479712035452,4.249605786155051,0.24581708818624504,-0.20451892421902315,14.774004,31.178452,7.087131061766575,-2.3098979866404665,0.4576595172385158,0.23952801836670579,11.040489,4.4838095,9.747572782188263,3.432664438173505,0.2668692676341172,-0.06322095853638701,-3.522644,-11.392592,7.045904207416783,-1.2409070007247773,0.5336601911623454,-0.2556204592256944,10.373772,8.099123,11.90339241198546,-3.023593105550778,-0.2812884670548252,0.15270389587139116,14.894496,10.658878,-1.1631842390780804,-6.45121030785891,0.31542984501548876,0.35662265344849553,9.792366,8.339877,7.613663663341193,0.5832267549604477,0.37515315782278646,0.1547456833874069,11.850664,-3.349291,6.156540994099651,3.091649414151356
6,6,image,0.5789541289810002,0.19420727275217148,9.981017,8.31888,12.769505666394515,4.067827120033586,0.20092720347455786,-0.2697722886522043,14.750734,31.42318,6.979021887673631,-1.8945464747228011,0.46400427378066406,0.2190967255637224,11.03258,4.658094,9.809214595001361,3.250357728351463,0.24403124826594813,-0.06549533466396422,-3.3829172,-11.611966,6.799885862519375,-1.1823325859449267,0.5379915972087969,-0.24328789691407085,10.457774,8.273392,11.832226393742909,-2.8329194170302556,-0.2717745477786222,0.10356905168167119,14.942354,10.537554,-1.360621170430139,-6.360926528752362,0.33251725092343415,0.4329586874329766,9.67815,7.7205405,7.934858950898663,0.5402229649804153,0.44287884073862255,-0.0027251193857012364,12.384028,-3.6448565,6.2338601443482755,2.351162101915922
7,7,image,0.5824109213109901,0.17973110186392724,10.101,8.388711,12.72284396507091,4.012700907260439,0.18309666829639856,-0.27093779811635366,14.667635,31.530487,6.959022755263319,-1.7784154680950282,0.4646834645116255,0.21023912616732185,11.002134,4.659599,9.835737698900115,3.161475995253322,0.23417341382692466,-0.07008739905313532,-3.4048595,-11.574382,6.671104516695757,-1.1241490498767388,0.5427179885719593,-0.22301714182089452,10.437541,8.566158,11.777961582881758,-2.64630664908806,-0.2521948715637638,0.07693256604406558,14.998237,10.351871,-1.8253295694574831,-6.118136847960363,0.33061288615899115,0.44162702612458227,9.647878,7.7832203,7.946459802050359,0.549785524705122,0.45385963586666,0.029957345235828176,12.362358,-3.6803691,6.246262072242563,2.2639524169366934
8,8,image,0.5953626244064822,0.13204005634638008,10.183261,8.485725,12.533983320192403,3.846408466952297,0.12689990487654992,-0.25803011251488056,14.578756,31.75776,6.8711318616983865,-1.4936765844309705,0.47760461066469095,0.1529749163928327,10.926001,5.0153737,9.952236092846135,2.8217262222126593,0.1694049920564966,-0.09163252028124814,-3.1973488,-11.898726,6.162012055626964,-0.981917646717826,0.5528872182132775,-0.19060130082296392,10.461051,8.671521,11.799134383426923,-2.4438048367280594,-0.22074451234503933,0.04091977651263876,15.051869,10.151151,-2.0678346618586945,-5.9679261955060525,0.3492908638142909,0.3674492986169372,9.652937,7.749338,7.97979182951998,0.5351863740392206,0.3722493397290938,0.011496262465559648,12.202516,-3.756855,6.2190018949670165,2.3544634951650214
9,9,image,0.6046545579794594,0.10953190677078999,10.327853,8.652167,12.458557759285396,3.7559435422586387,0.10038954682345086,-0.23824007966009128,14.496896,31.873163,6.773607871584021,-1.3549799870354076,0.4757002351324934,0.15219745049636732,10.95179,5.187092,9.977062997066591,2.7905796132886103,0.16858143608885387,-0.07358589260332567,-3.1898098,-11.959416,6.06156228748526,-0.9078364327662853,0.5449786958535303,-0.20500577817753823,10.35977,8.770781,11.752968516483874,-2.3664264076370243,-0.23516740620168824,0.04609762881190739,15.055878,9.931918,-2.181853890663874,-5.882215608414087,0.38074051211728077,0.3880639330835327,9.414001,7.669015,8.149059831438796,0.5360019723293378,0.38897474213874594,-0.03197269569396373,12.478897,-4.1372705,6.039590498134954,1.8788383761657603
